Date,Close/Last,Volume,Open,High,Low
09/23/2023,26585.70,N/A,26538.70,26593.40,26562.90
09/22/2023,26538.80,N/A,26630.70,26611.80,26527.40
09/21/2023,26620.60,N/A,27035.10,26662.90,26488.50
09/20/2023,27016.40,N/A,27121.20,27155.60,26943.10
09/19/2023,27097.50,N/A,26822.40,27378.60,27097.50
09/18/2023,26826.30,N/A,26651.90,26839.10,26672.20
09/17/2023,26667.40,N/A,26531.00,26737.30,26405.20
09/16/2023,26523.40,N/A,26621.80,26562.20,26438.80
09/15/2023,26630.20,N/A,26613.40,26769.00,26577.20
09/14/2023,26587.40,N/A,26266.80,26618.40,26458.70
09/13/2023,26258.70,N/A,25876.90,26522.90,26148.60
09/12/2023,25849.50,N/A,25796.80,25982.80,25766.90
09/11/2023,25774.70,N/A,25738.60,25925.20,25133.50
09/10/2023,25738.80,N/A,25860.40,25872.70,25663.70
09/09/2023,25871.70,N/A,25872.60,25902.60,25830.50
09/08/2023,25872.20,N/A,26254.50,25909.60,25850.10
09/07/2023,26269.70,N/A,25832.60,26415.40,26208.50
09/06/2023,25826.40,N/A,25780.40,25826.40,25722.30
09/05/2023,25785.90,N/A,25689.30,25862.20,25771.80
09/04/2023,25664.50,N/A,25987.10,25841.80,25596.30
09/03/2023,26012.10,N/A,25863.90,26094.20,25882.40
09/02/2023,25860.30,N/A,25796.70,25905.60,25837.70
09/01/2023,25793.20,N/A,26081.10,25836.20,25752.70
08/31/2023,26090.20,N/A,27213.70,26094.20,25932.10
08/30/2023,27203.90,N/A,27422.40,27300.60,27179.60
08/29/2023,27400.60,N/A,26080.20,27757.30,27293.50
08/28/2023,26082.40,N/A,26011.40,26180.30,26065.80
08/27/2023,26020.80,N/A,26020.80,26102.80,25991.30
08/26/2023,26017.90,N/A,26084.20,26029.70,25968.70
08/25/2023,26088.40,N/A,26104.60,26114.10,26032.90
08/24/2023,26094.80,N/A,26440.30,26185.50,26031.50
08/23/2023,26432.20,N/A,26004.60,26536.90,26348.00
08/22/2023,26003.70,N/A,26054.50,26172.60,25994.60
08/21/2023,26043.90,N/A,26091.10,26138.80,26025.80
08/20/2023,26086.10,N/A,26104.00,26196.30,26070.70
08/19/2023,26119.80,N/A,25966.00,26187.90,26047.10
08/18/2023,25946.60,N/A,26405.30,26146.60,25928.00
08/17/2023,26364.80,N/A,28649.40,26801.90,26324.10
08/16/2023,28678.30,N/A,29248.10,28771.80,28381.00
08/15/2023,29235.80,N/A,29375.40,29251.10,29182.60
08/14/2023,29371.50,N/A,29313.20,29449.60,29365.00
08/13/2023,29371.20,N/A,29443.60,29419.50,29116.00
08/12/2023,29410.70,N/A,29387.00,29452.80,29397.90
08/11/2023,29376.50,N/A,29366.60,29455.80,29375.40
08/10/2023,29384.50,N/A,29576.30,29489.80,29353.00
08/09/2023,29579.80,N/A,29713.40,29653.60,29562.40
08/08/2023,29706.40,N/A,29189.10,29882.00,29666.00
08/07/2023,29199.30,N/A,29154.20,29253.30,29137.70
08/06/2023,29152.30,N/A,29058.70,29215.20,29011.80
08/05/2023,29056.40,N/A,29082.70,29074.80,29032.30
08/04/2023,29085.50,N/A,29155.90,29139.30,29061.50
08/03/2023,29142.20,N/A,29174.80,29241.80,29109.10
08/02/2023,29155.20,N/A,29627.20,29266.10,29127.10
08/01/2023,29671.70,N/A,28835.30,30025.90,29660.50
07/31/2023,28847.90,N/A,29418.70,29343.10,28834.50
07/30/2023,29437.30,N/A,29316.30,29502.30,29264.90
07/29/2023,29382.40,N/A,29258.90,29400.10,29299.00
07/28/2023,29371.90,N/A,29252.40,29394.20,29299.00
07/27/2023,29215.20,N/A,29405.90,29294.40,29188.60
07/26/2023,29436.80,N/A,29243.80,29450.30,29307.90
07/25/2023,29250.50,N/A,29107.90,29394.40,29109.70
07/24/2023,29116.70,N/A,29717.30,29184.10,29058.70
07/23/2023,29699.00,N/A,29847.40,30098.20,29678.20
07/22/2023,29854.30,N/A,29908.60,29893.70,29735.70
07/21/2023,29926.00,N/A,29898.50,29986.80,29901.60
07/20/2023,29910.60,N/A,29950.00,29945.50,29741.70
07/19/2023,29943.20,N/A,30059.50,30044.80,29895.80
07/18/2023,30070.60,N/A,30077.70,30077.80,29842.30
07/17/2023,30087.20,N/A,30314.20,30242.40,30084.60
07/16/2023,30306.60,N/A,30192.00,30335.90,30197.20
07/15/2023,30225.80,N/A,30297.10,30333.90,30075.40
07/14/2023,30323.50,N/A,31462.50,30395.40,30246.90
07/13/2023,31425.40,N/A,30298.20,31602.60,31343.20
07/12/2023,30285.90,N/A,30591.40,30434.40,30279.70
07/11/2023,30595.40,N/A,30482.50,30654.30,30500.20
07/10/2023,30466.50,N/A,30158.00,30598.50,30367.80
07/09/2023,30179.20,N/A,30289.60,30242.40,29969.10
07/08/2023,30312.40,N/A,30277.10,30404.70,30252.10
07/07/2023,30281.00,N/A,30138.60,30379.90,30262.40
07/06/2023,30114.00,N/A,30499.90,30161.00,29757.40
07/05/2023,30502.80,N/A,30834.00,30559.00,30353.60
07/04/2023,30849.80,N/A,31262.20,30861.70,30756.30
07/03/2023,31241.80,N/A,30756.80,31326.50,31101.80
07/02/2023,30779.80,N/A,30544.10,30790.40,30594.40
